Gene,TCGA-CA-6717-01A-11R-1839-07,TCGA-CK-4951-01A-01R-1410-07,TCGA-WS-AB45-01A-11R-A41B-07,TCGA-A6-6781-01B-06R-A277-07,TCGA-A6-6781-01A-22R-A278-07,TCGA-A6-6781-01A-22R-1928-07,TCGA-D5-6928-01A-11R-1928-07,TCGA-AD-5900-01A-11R-1653-07,TCGA-A6-6780-01A-11R-A278-07,TCGA-A6-6780-01B-04R-A277-07,TCGA-A6-6780-01A-11R-1839-07,COUNT
NUPR1,0,0,0,0,0,0,0,0,0,0,0,0
FAM110B,0,1,0,0,0,0,0,0,0,0,0,1
TRIP10,0,0,0,0,0,0,0,0,0,0,0,0
MTTP,1,0,0,0,0,0,0,0,0,0,0,1
LMO7,1,0,0,1,1,1,0,0,1,1,1,7
ZNF746,0,0,0,0,0,0,0,0,0,0,0,0
PP2D1,0,0,0,0,0,0,0,0,0,0,0,0
WNK4,0,1,0,0,0,0,1,0,0,0,0,2
EPS8L1,0,0,0,1,1,1,0,1,0,0,0,4
ZNF785,0,0,0,0,0,0,0,0,0,0,0,0
HCFC1R1,0,0,0,1,1,1,0,0,0,0,0,3
RSF1,0,0,0,0,0,0,0,1,0,0,0,1
EEF1A1,0,0,0,0,0,0,0,0,0,0,0,0
TOB2,0,0,0,0,0,0,0,0,0,0,0,0
PRPF38A,1,0,0,0,0,0,0,0,0,0,0,1
SRCAP,0,0,0,1,1,1,0,0,1,1,1,6
ACHE,0,0,1,0,0,0,0,0,0,0,0,1
CHMP2A,0,1,0,0,0,0,0,0,0,0,0,1
BTG4,0,0,0,0,0,0,0,0,0,0,0,0
C12orf50,1,0,0,0,0,0,0,0,0,0,0,1
WFDC1,0,0,0,0,0,0,0,0,0,0,0,0
MMS22L,0,0,0,0,0,0,0,0,0,0,0,0
SAC3D1,0,0,0,0,0,0,0,0,0,0,0,0
ADIPOQ,0,0,0,0,0,0,0,0,0,0,0,0
CCNT1,1,0,0,0,0,0,0,0,0,0,0,1
TREML1,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB8A,0,0,0,0,0,0,0,0,0,0,0,0
ACOT7,0,1,0,0,0,0,0,0,0,0,0,1
CDKN2C,0,0,0,0,0,0,0,0,0,0,0,0
TINAGL1,0,1,0,0,0,0,1,0,0,0,0,2
SLC35E3,0,0,0,0,0,0,0,0,0,0,0,0
UBE2D3,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16B,0,0,0,0,0,0,0,0,0,0,0,0
CCM2,0,0,0,0,0,0,0,1,0,0,0,1
TUBB8,0,0,0,0,0,0,1,0,0,0,0,1
SLC20A2,1,0,0,1,1,1,0,0,0,0,0,4
CCDC113,0,0,0,1,1,1,0,0,0,0,0,3
FKTN,0,0,0,0,0,0,0,0,0,0,0,0
CBX2,0,1,0,0,0,0,0,0,0,0,0,1
AMTN,0,0,0,0,0,0,0,0,0,0,0,0
ZNF567,1,0,0,0,0,0,0,0,0,0,0,1
NOP58,1,0,0,0,0,0,0,0,0,0,0,1
NLGN2,0,0,0,0,0,0,0,0,0,0,0,0
TMIGD2,0,0,0,0,0,0,0,0,0,0,0,0
MRM1,0,0,0,0,0,0,0,0,0,0,0,0
FMN2,1,1,0,0,0,0,0,0,0,0,0,2
MICU3,0,0,1,0,0,0,0,0,0,0,0,1
S100A7A,0,0,0,0,0,0,0,0,0,0,0,0
C6orf136,0,0,0,1,1,1,0,0,0,0,0,3
RASGEF1C,0,0,0,0,0,0,0,0,0,0,0,0
TRIM37,1,0,0,0,0,0,0,1,0,0,0,2
HERC2,1,0,1,1,1,1,1,0,0,0,0,6
NME2,0,0,0,0,0,0,0,0,0,0,0,0
SH3BGRL3,0,0,0,0,0,0,0,0,0,0,0,0
APRT,0,0,0,0,0,0,0,0,0,0,0,0
SPACA1,0,0,0,0,0,0,0,0,0,0,0,0
KRT20,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1S,1,1,0,0,0,0,0,0,0,0,0,2
WNT5A,1,0,0,0,0,0,0,0,0,0,0,1
LRRC45,0,1,0,0,0,0,0,0,0,0,0,1
STMN1,0,0,0,0,0,0,0,0,0,0,0,0
SYNJ2BP,0,0,0,0,0,0,0,0,0,0,0,0
RICTOR,1,1,0,0,0,0,0,0,0,0,0,2
PPP1R3C,1,0,0,0,0,0,0,0,0,0,0,1
KDM3A,1,0,0,0,0,0,0,0,0,0,0,1
LEMD2,0,0,0,0,0,0,0,0,0,0,0,0
SYT5,0,1,1,0,0,0,1,0,0,0,0,3
GSG1L,0,0,0,0,0,0,0,0,0,0,0,0
INF2,0,1,1,1,1,1,0,0,0,0,0,5
PDHX,0,1,0,0,0,0,0,0,1,1,1,4
C9orf43,0,0,0,0,0,0,0,0,0,0,0,0
TBC1D5,1,1,0,0,0,0,0,0,0,0,0,2
LRIG2,0,1,0,0,0,0,0,0,0,0,0,1
CAB39L,0,0,0,0,0,0,0,0,0,0,0,0
ZNF92,0,0,0,0,0,0,0,0,0,0,0,0
MTMR11,0,0,0,0,0,0,0,0,0,0,0,0
GFRA4,0,0,0,0,0,0,0,0,0,0,0,0
PTPRQ,1,1,0,0,0,0,1,0,0,0,0,3
SAAL1,0,0,0,0,0,0,0,0,0,0,0,0
PBK,1,0,0,0,0,0,0,0,0,0,0,1
CYP26B1,0,0,0,0,0,0,0,0,1,1,1,3
EN1,0,1,0,0,0,0,0,0,0,0,0,1
PDAP1,0,0,0,0,0,0,0,0,0,0,0,0
OR1E2,0,0,0,0,0,0,0,0,0,0,0,0
RFXANK,0,0,0,0,0,0,0,0,0,0,0,0
MC2R,1,0,0,0,0,0,0,0,0,0,0,1
ST8SIA6,1,1,0,0,0,0,0,0,0,0,0,2
CTDSPL2,1,0,0,0,0,0,0,0,0,0,0,1
DSN1,0,0,0,0,0,0,0,0,0,0,0,0
ECH1,0,0,0,0,0,0,0,0,0,0,0,0
IL2RG,1,0,0,1,1,1,0,0,0,0,0,4
POLH,0,0,0,1,1,1,0,0,0,0,0,3
RNF133,0,0,0,0,0,0,0,0,0,0,0,0
C3orf70,0,0,0,0,0,0,0,0,0,0,0,0
PAQR3,0,0,0,0,0,0,0,0,0,0,0,0
ZNF324,0,0,0,0,0,0,1,1,0,0,0,2
GNA14,0,0,0,0,0,0,0,0,0,0,0,0
TSR3,0,0,0,0,0,0,0,0,0,0,0,0
DIS3L,1,0,0,0,0,0,0,0,0,0,0,1
PCOLCE2,1,1,1,0,0,0,0,0,0,0,0,3
RBMS3,1,0,0,0,0,0,0,0,0,0,0,1
RNF144A,0,0,0,0,0,0,0,0,0,0,0,0
RPH3A,0,0,0,1,1,1,0,0,0,0,0,3
CD40LG,0,0,0,0,0,0,1,0,0,0,0,1
HNMT,0,0,0,0,0,0,0,0,0,0,0,0
ZNF772,0,0,0,0,0,0,0,1,0,0,0,1
SULT1A1,0,1,0,0,0,0,0,0,0,0,0,1
UCKL1,0,0,0,0,0,0,0,0,0,0,0,0
PSG11,0,0,1,0,0,0,0,0,0,0,0,1
NLRP6,0,1,0,0,0,0,0,0,0,0,0,1
UGT8,1,0,0,0,0,0,0,0,0,0,0,1
CIB2,0,0,0,0,0,0,0,0,0,0,0,0
ADPRH,0,0,0,0,0,0,0,0,0,0,0,0
SPATA12,0,0,0,0,0,0,0,0,0,0,0,0
AFF3,1,0,0,0,0,0,0,1,0,0,0,2
TMPRSS11A,1,0,0,0,0,0,0,0,0,0,0,1
NRG2,0,0,0,0,0,0,0,0,0,0,0,0
LYRM1,0,0,0,0,0,0,0,0,0,0,0,0
BRDT,1,0,0,0,0,0,0,0,0,0,0,1
ANAPC16,0,0,0,0,0,0,0,0,0,0,0,0
SAMM50,0,0,0,0,0,0,0,0,0,0,0,0
OTUD4,1,0,0,0,0,0,0,0,0,0,0,1
TUBAL3,0,0,0,0,0,0,0,0,1,1,1,3
CCNO,0,0,0,0,0,0,0,0,0,0,0,0
SLC2A5,0,0,0,1,1,1,1,0,0,0,0,4
RPRD2,0,1,1,0,0,0,1,0,0,0,0,3
CYP11B1,0,0,0,0,0,0,1,0,0,0,0,1
LRCH1,0,0,0,0,0,0,0,0,0,0,0,0
TRIM59,0,0,0,0,0,0,0,0,0,0,0,0
FLG,0,0,1,1,1,1,1,0,1,1,1,8
TAB1,0,0,0,0,0,0,0,0,0,0,0,0
SPTA1,1,0,0,1,1,1,0,0,0,0,0,4
PTGER3,1,0,0,0,0,0,0,0,0,0,0,1
RBPJ,1,0,0,0,0,0,0,0,0,0,0,1
MRPL27,0,0,0,0,0,0,0,0,0,0,0,0
TMEM252,1,0,0,1,1,1,0,0,0,0,0,4
ZNF771,0,0,0,0,0,0,0,0,0,0,0,0
ATCAY,0,0,0,0,0,0,0,0,0,0,0,0
ACAN,1,0,0,0,0,0,0,1,0,0,0,2
RPS15A,0,0,0,0,0,0,0,0,0,0,0,0
GRM3,1,1,0,0,0,0,0,0,0,0,0,2
KATNBL1,0,0,0,0,0,0,0,0,0,0,0,0
PGRMC2,0,0,0,0,0,0,0,0,0,0,0,0
BNC1,1,0,1,0,0,0,0,0,1,1,1,5
PDE8A,1,1,0,0,0,0,1,0,0,0,0,3
CTRC,0,0,0,0,0,0,0,0,0,0,0,0
NXPH2,1,0,0,0,0,0,0,0,0,0,0,1
SERPINE1,1,0,0,0,0,0,0,0,0,0,0,1
RDH11,0,1,0,0,0,0,0,0,0,0,0,1
SLC25A37,0,0,0,0,0,0,0,0,0,0,0,0
GABPB2,0,0,0,1,1,1,1,0,0,0,0,4
HSD17B2,1,0,0,1,1,1,0,0,0,0,0,4
HMGB4,0,0,0,0,0,0,0,0,0,0,0,0
RSAD1,0,0,0,0,0,0,0,0,0,0,0,0
MED12L,1,1,0,0,0,0,0,1,0,0,0,3
CCT5,0,0,0,0,0,0,1,0,0,0,0,1
BRWD1,1,1,1,0,0,0,1,0,0,0,0,4
IL33,0,0,0,0,0,0,0,0,0,0,0,0
TCF25,0,1,0,0,0,0,0,1,0,0,0,2
LAMA4,1,0,0,0,0,0,0,1,1,1,1,5
ALX3,0,0,0,0,0,0,0,0,0,0,0,0
LCLAT1,0,0,0,0,0,0,0,0,0,0,0,0
VPS39,0,1,0,0,0,0,0,0,0,0,0,1
IDH3A,0,1,0,0,0,0,0,0,0,0,0,1
SLC4A7,1,0,0,0,0,0,0,0,0,0,0,1
SEC24C,1,1,0,0,0,0,0,0,0,0,0,2
C19orf47,0,0,0,0,0,0,0,0,0,0,0,0
EBI3,0,0,0,0,0,0,0,0,0,0,0,0
LPCAT3,0,0,0,0,0,0,0,0,0,0,0,0
LCAT,0,1,0,0,0,0,1,0,0,0,0,2
SYT15,0,0,0,0,0,0,0,0,0,0,0,0
MAP1B,1,1,0,1,1,1,0,0,0,0,0,5
LRRN4,0,0,0,0,0,0,0,0,0,0,0,0
COBL,0,0,1,1,1,1,0,0,0,0,0,4
CPLX1,0,1,0,0,0,0,0,0,1,1,1,4
IRX3,0,0,0,0,0,0,0,0,0,0,0,0
HCRT,0,0,0,0,0,0,0,0,0,0,0,0
GABRG1,1,0,1,0,0,0,0,0,0,0,0,2
CNOT11,0,0,0,0,0,0,0,0,0,0,0,0
CKAP2L,0,0,0,0,0,0,0,0,0,0,0,0
PON1,1,0,0,0,0,0,0,0,0,0,0,1
PKP3,0,0,1,0,0,0,0,0,0,0,0,1
ZMYND19,1,0,0,0,0,0,0,0,0,0,0,1
CPA6,0,0,0,1,1,1,0,0,0,0,0,3
EIF2S3,0,0,0,0,0,0,0,0,0,0,0,0
NTF3,0,0,0,0,0,0,0,0,0,0,0,0
GCFC2,0,0,0,0,0,0,0,0,0,0,0,0
SYF2,1,0,0,0,0,0,0,0,0,0,0,1
RNF152,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R12C,0,0,1,0,0,0,0,0,0,0,0,1
ZNF384,0,1,0,0,0,0,0,0,0,0,0,1
SPATA4,0,0,0,0,0,0,0,0,0,0,0,0
HBM,0,0,0,0,0,0,0,0,0,0,0,0
RPL6,0,0,0,0,0,0,0,0,0,0,0,0
FGF12,0,1,0,0,0,0,0,0,0,0,0,1
PDHA2,1,0,0,0,0,0,0,0,1,1,1,4
CTBP2,0,0,0,0,0,0,0,0,0,0,0,0
AHCTF1,1,1,1,0,0,0,0,1,0,0,0,4
IFRD2,0,1,0,0,0,0,0,0,0,0,0,1
PRDM6,1,0,0,0,0,0,0,0,0,0,0,1
DNAJC27,0,0,0,0,0,0,0,0,0,0,0,0
PTPRS,0,1,0,1,1,1,0,0,0,0,0,4
MFSD8,0,0,0,0,0,0,0,0,1,1,1,3
MRPL53,1,0,0,0,0,0,0,0,0,0,0,1
NGF,0,0,0,0,0,0,0,1,0,0,0,1
SENP7,1,0,0,0,0,0,0,0,0,0,0,1
XIRP1,0,1,0,0,0,0,1,0,0,0,0,2
CDV3,0,0,0,0,0,0,0,0,0,0,0,0
RBM47,0,0,1,0,0,0,1,0,0,0,0,2
CC2D2B,1,0,0,0,0,0,0,0,0,0,0,1
CSN3,0,0,0,0,0,0,0,0,0,0,0,0
ZNF443,1,0,0,0,0,0,0,0,0,0,0,1
PILRB,0,0,0,0,0,0,0,0,0,0,0,0
BNIP1,0,0,0,0,0,0,0,0,0,0,0,0
ZNF675,1,0,1,0,0,0,0,0,0,0,0,2
ETAA1,1,0,0,0,0,0,0,0,0,0,0,1
PPT2,0,0,0,0,0,0,0,0,0,0,0,0
C2CD2L,0,0,0,0,0,0,0,0,0,0,0,0
LYPD3,0,0,0,0,0,0,0,0,0,0,0,0
FREM2,1,1,1,1,1,1,0,0,0,0,0,6
MCM8,1,0,1,0,0,0,0,0,0,0,0,2
NFATC3,1,0,1,0,0,0,0,0,0,0,0,2
PARD3B,1,1,1,0,0,0,0,1,0,0,0,4
TRMT11,0,0,0,0,0,0,0,0,0,0,0,0
GOLPH3L,0,0,0,0,0,0,0,0,0,0,0,0
COA6,0,0,0,0,0,0,0,0,0,0,0,0
TMEM17,0,0,0,0,0,0,0,0,0,0,0,0
SHMT2,0,1,0,0,0,0,0,0,0,0,0,1
EXOC3L2,0,1,0,0,0,0,0,1,0,0,0,2
PSMB9,0,0,0,0,0,0,0,0,0,0,0,0
GFI1B,0,0,0,0,0,0,0,0,0,0,0,0
SYNJ2,1,1,1,0,0,0,0,0,0,0,0,3
GPRC5D,0,0,0,0,0,0,0,0,0,0,0,0
MBIP,0,0,0,0,0,0,0,0,0,0,0,0
EXOC2,1,0,0,0,0,0,0,0,0,0,0,1
NCLN,0,1,0,1,1,1,0,0,0,0,0,4
EIF4A1,0,0,0,0,0,0,0,0,0,0,0,0
PNPLA3,0,0,0,0,0,0,0,0,0,0,0,0
PSMA2,1,0,0,0,0,0,0,0,0,0,0,1
RBM6,0,0,0,0,0,0,0,0,0,0,0,0
CTH,1,0,0,0,0,0,0,0,0,0,0,1
TSPAN13,0,0,0,0,0,0,0,0,0,0,0,0
CHRNB4,0,0,0,0,0,0,0,0,0,0,0,0
SBDS,0,0,0,0,0,0,0,0,0,0,0,0
S100A2,0,0,0,0,0,0,0,0,0,0,0,0
MTHFS,0,0,0,0,0,0,0,0,0,0,0,0
MOB1A,0,0,0,0,0,0,0,0,0,0,0,0
CCNE1,0,0,0,0,0,0,0,0,0,0,0,0
UBE2D4,0,0,0,0,0,0,0,0,0,0,0,0
NLRP5,1,1,1,0,0,0,0,0,0,0,0,3
STPG2,1,0,0,0,0,0,0,0,0,0,0,1
TERT,0,0,0,0,0,0,0,1,0,0,0,1
RFTN1,1,0,0,0,0,0,0,1,0,0,0,2
KLHL42,0,0,0,0,0,0,0,1,0,0,0,1
FBXL13,1,1,0,0,0,0,0,0,0,0,0,2
GPR25,0,0,1,0,0,0,0,0,0,0,0,1
ZNF471,1,0,0,0,0,0,0,0,0,0,0,1
FANCE,0,0,1,0,0,0,0,0,0,0,0,1
ZNF264,0,0,0,0,0,0,0,0,0,0,0,0
RDX,1,0,0,0,0,0,1,0,0,0,0,2
HEATR5B,1,1,0,1,1,1,0,0,0,0,0,5
CD81,0,0,0,0,0,0,0,0,0,0,0,0
ZNF90,1,0,0,0,0,0,0,0,0,0,0,1
TMEM63C,0,0,0,1,1,1,0,0,0,0,0,3
UBE2L6,0,0,0,0,0,0,0,0,0,0,0,0
LPAR1,0,0,0,0,0,0,0,0,0,0,0,0
MFAP1,0,0,0,0,0,0,0,0,0,0,0,0
LZTS2,0,1,1,1,1,1,0,0,0,0,0,5
LRRC37B,1,0,0,0,0,0,0,0,0,0,0,1
GCC2,1,1,0,0,0,0,0,0,0,0,0,2
WDR49,1,0,0,1,1,1,0,0,0,0,0,4
ZFP62,1,0,0,0,0,0,0,0,0,0,0,1
VWA2,0,0,1,0,0,0,0,0,0,0,0,1
TIMM21,0,0,0,0,0,0,0,0,0,0,0,0
SORCS3,1,1,0,0,0,0,0,1,0,0,0,3
CALU,0,0,0,0,0,0,0,0,0,0,0,0
SPCS2,0,0,0,0,0,0,0,0,0,0,0,0
MYLK4,1,0,0,0,0,0,1,0,0,0,0,2
SGIP1,1,0,0,0,0,0,0,0,0,0,0,1
SCIMP,0,0,0,0,0,0,0,0,0,0,0,0
SERTAD4,0,0,0,0,0,0,0,0,0,0,0,0
BRMS1,1,1,0,0,0,0,0,0,1,1,1,5
SHBG,1,0,0,0,0,0,0,0,0,0,0,1
EIF4E2,0,0,0,0,0,0,0,0,0,0,0,0
ZBED6CL,0,0,0,0,0,0,0,0,0,0,0,0
SLC13A2,1,0,0,0,0,0,0,0,0,0,0,1
PRMT6,0,0,0,0,0,0,0,0,0,0,0,0
OSCP1,0,1,0,0,0,0,0,1,0,0,0,2
SLC35G1,0,0,1,1,1,1,0,0,0,0,0,4
TPCN1,1,0,0,0,0,0,0,0,0,0,0,1
LOXHD1,1,1,1,0,0,0,1,1,0,0,0,5
TNS1,1,0,1,1,1,1,0,1,1,1,1,9
PDE1A,1,0,0,0,0,0,0,0,0,0,0,1
NDE1,0,0,1,0,0,0,0,0,0,0,0,1
B4GALNT4,0,0,1,0,0,0,1,0,0,0,0,2
TTC3,1,0,0,1,1,1,1,0,0,0,0,5
ERGIC3,0,0,0,0,0,0,0,0,0,0,0,0
MAPK7,1,0,1,0,0,0,0,0,0,0,0,2
DERL2,0,0,0,1,1,1,0,0,0,0,0,3
NRXN1,0,0,1,0,0,0,0,0,1,1,1,4
PCDHA8,1,0,0,1,1,1,0,0,0,0,0,4
FBXO40,0,0,0,0,0,0,0,0,0,0,0,0
PROSER1,1,0,0,0,0,0,1,0,0,0,0,2
EMCN,0,0,0,0,0,0,0,0,0,0,0,0
MCL1,0,0,0,0,0,0,0,0,0,0,0,0
NUTF2,0,0,0,0,0,0,0,0,0,0,0,0
GSTM3,1,1,0,0,0,0,0,0,0,0,0,2
DDX31,1,1,0,0,0,0,0,0,0,0,0,2
JAG2,0,0,1,0,0,0,1,0,0,0,0,2
KLRC3,0,0,0,0,0,0,0,0,0,0,0,0
PIK3IP1,0,0,0,0,0,0,0,0,0,0,0,0
SMPDL3B,0,1,0,0,0,0,0,0,0,0,0,1
ACTN1,0,0,0,1,1,1,0,1,0,0,0,4
ALDH3A1,0,0,0,0,0,0,0,0,1,1,1,3
TRIM5,0,0,0,0,0,0,0,0,0,0,0,0
MTCH1,0,0,0,0,0,0,0,0,0,0,0,0
PCID2,0,0,0,0,0,0,0,0,0,0,0,0
RDH12,1,0,0,0,0,0,0,0,0,0,0,1
PPP1R14D,0,0,0,0,0,0,0,0,0,0,0,0
MYO15A,1,1,0,1,1,1,0,0,0,0,0,5
TRMT10C,1,0,0,0,0,0,0,1,0,0,0,2
MMADHC,0,0,0,0,0,0,0,0,1,1,1,3
CCDC85B,0,0,0,0,0,0,0,0,0,0,0,0
NRDE2,0,0,0,0,0,0,0,0,0,0,0,0
GPATCH8,0,1,0,1,1,1,0,1,0,0,0,5
C10orf62,1,0,0,0,0,0,0,0,0,0,0,1
PTH1R,0,0,0,0,0,0,0,0,0,0,0,0
RTN4RL2,0,1,0,0,0,0,0,0,0,0,0,1
MAGEA12,0,1,0,0,0,0,1,0,0,0,0,2
ZNF784,0,0,0,0,0,0,0,0,0,0,0,0
YBEY,1,0,0,0,0,0,0,0,0,0,0,1
ABCG5,0,0,1,0,0,0,0,0,0,0,0,1
LGALS9B,0,0,1,0,0,0,0,0,0,0,0,1
PLA2G4E,1,0,0,0,0,0,0,0,1,1,1,4
ARHGEF4,0,0,0,0,0,0,0,0,0,0,0,0
TRAPPC2L,0,0,0,0,0,0,0,0,0,0,0,0
C16orf46,0,0,0,0,0,0,0,0,0,0,0,0
VANGL1,0,0,1,0,0,0,0,0,0,0,0,1
RAD52,0,0,0,0,0,0,0,0,0,0,0,0
FAM13B,0,0,0,0,0,0,1,0,0,0,0,1
KLF11,1,0,0,0,0,0,0,0,0,0,0,1
ABI3,1,0,0,0,0,0,0,0,0,0,0,1
LMBRD1,1,0,0,0,0,0,0,0,0,0,0,1
TUBB1,0,0,0,0,0,0,0,0,0,0,0,0
HSD11B2,0,0,0,0,0,0,0,0,0,0,0,0
ADNP,0,0,0,0,0,0,0,0,0,0,0,0
TRIM25,0,0,1,0,0,0,0,0,0,0,0,1
REXO2,0,0,0,0,0,0,0,0,0,0,0,0
GRHL3,0,0,1,0,0,0,0,0,0,0,0,1
PSMD13,1,0,0,0,0,0,0,0,0,0,0,1
ZG16B,0,0,0,0,0,0,0,0,0,0,0,0
LACC1,1,0,0,0,0,0,0,0,0,0,0,1
FAM135A,1,1,0,0,0,0,0,0,0,0,0,2
SUPT4H1,0,0,0,0,0,0,0,0,0,0,0,0
MDK,0,0,0,0,0,0,0,0,0,0,0,0
UBA5,1,0,0,0,0,0,1,0,0,0,0,2
CDK17,0,0,0,0,0,0,0,0,0,0,0,0
CYP3A5,0,0,0,0,0,0,0,0,0,0,0,0
TMUB1,0,0,0,0,0,0,0,0,0,0,0,0
MAPRE3,0,0,0,0,0,0,0,0,0,0,0,0
SIAH1,0,0,0,0,0,0,0,0,0,0,0,0
DLL1,1,0,1,0,0,0,0,1,0,0,0,3
LGALS13,0,1,0,0,0,0,0,0,0,0,0,1
FIGN,0,1,1,0,0,0,1,0,0,0,0,3
FZD9,1,0,0,1,1,1,0,0,0,0,0,4
ZNF215,0,0,0,0,0,0,0,0,1,1,1,3
THAP10,1,0,0,0,0,0,0,0,0,0,0,1
FGF18,0,0,0,0,0,0,0,0,0,0,0,0
SV2B,0,0,0,0,0,0,0,1,0,0,0,1
LY96,0,0,0,0,0,0,0,0,0,0,0,0
KRT19,1,0,0,0,0,0,0,0,0,0,0,1
GLYATL3,1,0,0,0,0,0,0,0,0,0,0,1
CUL4A,1,0,0,0,0,0,0,0,0,0,0,1
LMO4,0,0,0,0,0,0,1,0,0,0,0,1
PCDHGA4,1,0,0,1,1,1,0,0,0,0,0,4
TGIF1,0,0,0,0,0,0,0,0,0,0,0,0
LMO1,0,0,0,0,0,0,0,0,0,0,0,0
GNAS,0,0,1,0,0,0,0,1,0,0,0,2
RIPK4,1,1,0,1,1,1,0,0,0,0,0,5
FAM107B,0,0,1,0,0,0,0,0,0,0,0,1
CLEC4E,0,0,0,0,0,0,0,0,0,0,0,0
PAK3,0,0,0,0,0,0,0,0,0,0,0,0
EXOSC8,0,0,0,0,0,0,0,0,0,0,0,0
SYT2,0,0,0,0,0,0,0,0,0,0,0,0
GRPEL1,0,0,0,0,0,0,0,0,0,0,0,0
GRM7,1,0,0,0,0,0,0,0,0,0,0,1
TRIM65,0,0,1,0,0,0,0,0,0,0,0,1
LEF1,1,0,0,0,0,0,0,0,0,0,0,1
PPP1R16B,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC2,0,0,0,0,0,0,0,0,0,0,0,0
FAS,1,0,0,0,0,0,1,0,1,1,1,5
CTDNEP1,1,1,0,0,0,0,0,0,0,0,0,2
DYNC1LI2,0,0,0,0,0,0,0,0,0,0,0,0
NDUFS5,0,0,0,0,0,0,0,0,0,0,0,0
FGD4,0,0,1,0,0,0,0,0,0,0,0,1
CNTRL,1,0,0,0,0,0,0,0,0,0,0,1
FBXL14,0,1,0,0,0,0,0,0,0,0,0,1
ALDH7A1,0,0,0,0,0,0,0,0,0,0,0,0
NDUFA9,0,0,0,0,0,0,0,0,0,0,0,0
SREK1,1,0,0,0,0,0,0,0,0,0,0,1
KLF6,0,0,0,0,0,0,0,0,0,0,0,0
NUDCD2,0,0,0,0,0,0,0,0,0,0,0,0
SLC50A1,0,0,0,0,0,0,0,0,0,0,0,0
MTMR6,0,0,1,0,0,0,0,1,0,0,0,2
MAP3K7CL,0,0,0,0,0,0,0,0,0,0,0,0
FAM222A,0,0,0,0,0,0,1,0,0,0,0,1
