Gene,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-E9-A5FL-01A-11R-A27Q-07,TCGA-BH-A0WA-01A-11R-A109-07,TCGA-AR-A5QQ-01A-11R-A28M-07,TCGA-A2-A4S1-01A-21R-A266-07,TCGA-AR-A2LR-01A-12R-A18M-07,TCGA-A7-A26G-01A-21R-A169-07,TCGA-BH-A0DL-11A-13R-A115-07,TCGA-BH-A0DL-01A-11R-A115-07,COUNT
OVGP1,0,0,0,0,0,0,0,0,0,0
ANKIB1,0,0,0,0,0,0,0,0,0,0
FMN2,0,0,0,0,0,0,0,0,0,0
ADAM32,0,0,0,0,0,0,0,0,0,0
RELB,0,0,0,0,0,0,0,0,0,0
ABHD6,0,0,0,0,0,0,0,0,0,0
SIM1,0,0,0,0,0,0,0,0,0,0
ADAMTS4,0,0,0,0,0,0,0,0,0,0
ARRB2,0,0,0,0,0,0,0,0,0,0
TRIM45,0,0,0,0,0,0,0,0,0,0
CDKL3,0,0,0,0,0,0,0,0,0,0
MTIF2,0,0,0,0,0,0,0,0,0,0
GABPA,0,0,0,0,0,0,0,0,0,0
SMURF1,0,0,0,0,0,0,0,0,0,0
SRM,0,0,0,0,0,0,0,0,0,0
FKBP4,0,0,0,0,0,0,0,0,0,0
KIAA0319,0,0,0,0,0,0,0,0,0,0
OXT,0,0,0,0,0,0,0,0,0,0
CIITA,0,0,0,0,0,0,0,0,0,0
KLHL38,0,0,0,0,0,0,0,0,0,0
C8orf44,0,0,0,0,0,0,0,0,0,0
SOX9,0,0,0,0,0,0,0,0,0,0
ASAP2,0,0,0,0,0,0,0,0,0,0
NOVA2,0,0,0,0,0,0,0,0,0,0
ATP6V0D2,0,0,0,0,0,0,0,0,0,0
A1CF,0,0,0,0,0,0,0,0,0,0
APBA2,0,0,0,1,0,0,0,0,0,1
UNC50,0,0,0,0,0,0,0,0,0,0
SLCO2B1,0,0,0,0,0,0,0,0,0,0
B4GALT5,0,0,0,0,0,0,0,0,0,0
CCT2,0,0,0,0,0,0,0,0,0,0
CYP4A11,0,0,0,0,0,0,0,0,0,0
RASAL1,0,0,0,0,0,0,0,0,0,0
LIMA1,0,0,0,0,0,0,0,0,0,0
INF2,0,0,0,0,0,0,0,0,0,0
GATAD2B,0,0,0,0,0,0,0,0,0,0
SCGB2A2,0,0,0,0,0,0,0,0,0,0
LIPG,0,0,0,0,0,0,0,0,0,0
USP6NL,0,0,0,0,0,0,0,0,0,0
ITGA10,0,0,0,0,0,0,0,0,0,0
IZUMO2,0,0,0,0,0,0,0,0,0,0
CPSF6,0,0,0,0,0,0,0,0,0,0
ECD,0,0,0,0,0,0,0,0,0,0
CWC25,0,0,0,0,0,0,0,0,0,0
IKZF1,0,0,0,0,0,0,0,0,0,0
TSEN34,0,0,0,0,0,0,0,0,0,0
GLI3,0,0,0,0,0,0,0,0,0,0
WARS2,0,0,0,0,0,0,0,0,0,0
CD53,0,0,0,0,0,0,0,0,0,0
SH3BP4,0,0,0,0,0,0,0,0,0,0
RGS13,0,0,0,0,0,0,0,0,0,0
ALG13,0,0,0,0,0,0,0,0,0,0
OTUD3,0,0,0,0,0,0,0,0,0,0
BFSP1,0,0,0,0,0,0,0,0,0,0
MYL6B,0,0,0,0,0,0,0,0,0,0
MTRF1,0,0,0,0,0,0,0,0,0,0
HYAL2,0,0,0,0,0,0,0,0,0,0
ECEL1,0,0,0,0,0,0,0,0,0,0
TTC39C,0,0,0,0,0,0,0,0,0,0
OLFM2,0,0,0,0,0,0,0,0,0,0
OMP,0,0,0,0,0,0,0,0,0,0
IPPK,0,0,0,0,0,0,0,0,0,0
MAGEA8,0,0,0,0,0,0,0,0,0,0
ZNF775,0,0,0,0,0,0,0,0,0,0
SSTR4,0,0,0,0,0,0,0,0,0,0
OSBPL2,0,0,0,0,0,0,0,0,0,0
C1orf198,0,0,0,0,0,0,0,0,0,0
MX2,0,0,1,0,0,0,0,0,0,1
RPS24,0,0,0,0,0,0,0,0,0,0
CD40LG,0,0,0,0,0,0,0,0,0,0
FUT10,0,0,0,0,0,0,0,0,0,0
SH3BP1,0,0,0,0,0,0,0,0,0,0
EAPP,0,0,0,0,0,0,0,0,0,0
USP38,0,0,0,0,0,0,0,0,0,0
GNB1L,0,0,0,0,0,0,0,0,0,0
UCKL1,0,0,0,0,0,0,0,0,0,0
SULT1A1,0,0,0,0,0,0,0,0,0,0
GYPA,0,0,0,0,0,0,0,0,0,0
CSRNP2,0,0,0,0,0,0,0,0,0,0
NLRP6,0,0,0,0,0,0,0,0,0,0
RNH1,0,0,0,0,0,0,0,0,0,0
EPPIN,0,0,0,0,0,0,0,0,0,0
AMOTL2,0,0,0,0,0,0,0,0,0,0
AFF3,0,0,0,0,0,0,0,0,0,0
OPCML,0,0,0,0,0,0,0,0,0,0
TTC9C,0,0,0,0,0,0,0,0,0,0
KIAA1522,0,0,0,0,0,0,0,0,0,0
CMSS1,0,0,0,0,0,0,0,0,0,0
SPOPL,0,0,0,0,0,0,0,0,0,0
SIX6,0,0,0,0,0,0,0,0,0,0
NANOS1,0,0,0,0,0,0,0,0,0,0
SP140L,0,0,0,0,0,0,0,0,0,0
C12orf49,0,0,0,0,0,0,0,0,0,0
TSPAN14,0,0,0,0,0,0,0,0,0,0
TM9SF2,0,0,0,0,0,0,0,0,0,0
CCR5,0,0,0,0,0,0,0,0,0,0
PRRT2,0,0,0,0,0,0,0,0,0,0
TMEM183A,0,0,0,0,0,0,0,0,0,0
CEP250,0,0,0,0,0,0,0,0,0,0
PPA2,0,0,0,0,0,0,0,0,0,0
R3HDM2,0,0,0,0,0,0,0,0,0,0
INPP4B,0,0,0,0,0,0,0,0,0,0
ZSCAN10,0,0,0,0,0,0,0,0,0,0
ATCAY,0,0,0,0,0,0,0,0,0,0
ZNF451,0,0,0,0,0,0,0,0,0,0
KCNH2,0,0,0,0,0,0,0,0,0,0
LAD1,0,0,0,0,0,0,0,0,0,0
ZNF146,0,0,0,0,0,0,0,0,0,0
PCDHB10,0,0,0,0,0,0,0,0,0,0
PPHLN1,0,0,0,0,0,0,0,0,0,0
MMP28,0,0,0,0,0,0,0,0,0,0
TTLL5,0,0,0,0,0,0,0,0,0,0
PGRMC2,0,0,0,0,0,0,0,0,0,0
FRK,0,0,0,0,0,0,0,0,0,0
C9orf40,0,0,0,0,0,0,0,0,0,0
OSBPL1A,0,0,0,0,0,0,0,0,0,0
SERPINB3,0,0,0,0,0,0,0,0,0,0
KBTBD2,0,0,0,0,0,0,0,0,0,0
GAS1,0,0,0,0,0,0,0,0,0,0
ZNF644,0,0,0,0,0,0,0,0,0,0
CACNG1,0,0,0,0,0,0,0,0,0,0
GABPB2,0,0,0,0,0,0,0,0,0,0
MLIP,0,0,0,0,0,0,0,0,0,0
SMAD4,0,0,0,0,0,0,0,0,0,0
IGF2R,0,0,0,0,0,0,0,0,0,0
SERPINA3,0,0,0,0,0,0,0,0,0,0
SLC25A26,0,0,0,0,0,0,0,0,0,0
DMRT3,0,0,0,0,0,0,0,0,0,0
AKR1D1,0,0,0,0,0,0,0,0,0,0
ALX3,0,0,0,0,0,0,0,0,0,0
MRPS9,0,0,0,0,0,0,0,0,0,0
RANGAP1,0,0,0,0,0,0,0,0,0,0
LCLAT1,0,0,0,0,0,0,0,0,0,0
POLR2L,0,0,0,0,0,0,0,0,0,0
TCF19,0,0,0,0,0,0,0,0,0,0
SLC26A1,0,0,0,0,0,0,0,0,0,0
KCTD10,0,0,0,0,0,0,0,0,0,0
NSA2,0,0,0,0,0,0,0,0,0,0
GMPPA,0,0,0,0,0,0,0,0,0,0
U2AF1L4,0,0,0,0,0,0,0,0,0,0
EXOC7,0,0,0,0,0,0,0,0,0,0
C1QB,0,0,0,0,0,0,0,0,0,0
GNG10,0,0,0,0,0,0,0,0,0,0
UBE2U,0,0,0,0,0,0,0,0,0,0
SYNE4,0,0,0,0,0,0,0,0,0,0
SRP19,0,0,0,0,0,0,0,0,0,0
VPS54,0,0,0,0,0,0,0,0,0,0
DPH3,0,0,0,0,0,0,0,0,0,0
MTMR3,0,0,0,0,0,0,0,0,0,0
SYT15,0,0,0,0,0,0,0,0,0,0
DAZAP2,0,0,0,0,0,0,0,0,0,0
KRT33B,0,0,0,0,0,0,0,0,0,0
LZTFL1,0,0,0,0,0,0,0,0,0,0
UNC13B,0,0,0,0,0,0,0,0,0,0
NMB,0,0,0,0,0,0,0,0,0,0
ATAD2,0,0,0,0,0,0,0,0,0,0
CXCL13,0,0,0,0,0,0,0,0,0,0
ACOT12,0,0,0,0,0,0,0,0,0,0
STARD10,0,0,0,0,0,0,0,0,0,0
DEPDC5,0,0,0,0,0,0,0,0,0,0
CRYBA4,0,0,0,0,0,0,0,0,0,0
CAP2,0,0,0,0,0,0,0,0,0,0
PLA2G3,0,0,0,0,0,0,0,0,0,0
CTBP2,0,0,0,0,0,0,0,0,0,0
NOA1,0,0,0,0,0,0,0,0,0,0
DDX51,0,0,0,0,0,0,0,0,0,0
FAM81B,0,0,0,0,0,0,0,0,0,0
ZBTB10,0,0,0,0,0,0,0,0,0,0
ZNF44,0,0,0,0,0,0,0,0,0,0
QPRT,0,0,0,0,0,0,0,0,0,0
CDKN2AIPNL,0,0,0,0,0,0,0,0,0,0
F11R,0,0,0,0,0,0,0,0,0,0
WWC2,0,0,0,0,0,0,0,0,0,0
LTB,0,0,0,0,0,0,0,0,0,0
TNP2,0,0,0,0,0,0,0,0,0,0
KIF18A,0,0,0,0,0,0,0,0,0,0
USP21,0,0,0,0,0,0,0,0,0,0
ZNF675,0,0,0,0,0,0,0,0,0,0
CHRNA3,0,0,0,0,0,0,0,0,0,0
UPP2,0,0,0,0,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0,0,0,0,0
CAPN5,0,0,0,0,0,0,0,0,0,0
GAL3ST1,0,0,0,0,0,0,0,0,0,0
AOC1,0,0,0,0,0,0,0,0,0,0
OXSR1,0,0,0,0,0,0,0,0,0,0
DNAJC16,0,0,0,0,0,0,0,0,0,0
NLRP7,0,0,0,0,0,0,0,0,0,0
SHMT2,0,0,0,0,0,0,0,0,0,0
HOMER1,0,0,0,0,0,0,0,0,0,0
PCDHB13,0,0,0,0,0,0,0,0,0,0
NOS3,0,0,0,0,0,0,0,0,0,0
TUBG1,0,0,0,0,0,0,0,0,0,0
UBE2E2,0,0,0,0,0,0,0,0,0,0
EFNB3,0,0,0,0,0,0,0,0,0,0
DYRK2,0,0,0,0,0,0,0,0,0,0
B3GAT3,0,0,0,0,0,0,0,0,0,0
DRD5,0,0,0,0,0,0,0,0,0,0
FLRT3,0,0,0,0,0,0,0,0,0,0
DENR,0,0,0,0,0,0,0,0,0,0
KRT2,0,0,0,0,0,0,0,0,0,0
H2AFY,0,0,0,0,0,0,0,0,0,0
NUDT16L1,0,0,0,0,0,0,0,0,0,0
CNOT1,0,0,0,0,0,0,0,0,0,0
RBM6,0,0,0,0,0,0,0,0,0,0
TNF,0,0,0,0,0,0,0,0,0,0
CD14,0,0,0,0,0,0,0,0,0,0
BORA,0,0,0,0,0,0,0,0,0,0
HSCB,0,0,0,0,0,0,0,0,0,0
CARD16,0,0,0,0,0,0,0,0,0,0
CENPT,0,0,0,0,0,0,0,0,0,0
CCNE1,0,0,0,0,0,0,0,0,0,0
TRNT1,0,0,0,0,0,0,0,0,0,0
PER2,0,0,0,0,0,0,0,0,0,0
CNPY2,0,0,0,0,0,0,0,0,0,0
MAL,0,0,0,0,0,0,0,0,0,0
AHSG,0,0,0,0,0,0,0,0,0,0
MAGEA10,0,0,0,0,0,0,0,0,0,0
PSMC3IP,0,0,0,0,0,0,0,0,0,0
DDX4,0,0,0,0,0,0,0,0,0,0
NSUN2,0,0,0,0,0,0,0,0,0,0
TPGS2,0,0,0,0,0,0,0,0,0,0
NDUFA4L2,0,0,0,0,0,0,0,0,0,0
CPNE1,0,0,0,0,0,0,0,0,0,0
TXNRD2,0,0,0,0,0,0,0,0,0,0
CD276,0,0,0,0,0,0,0,0,0,0
ZFP36,0,0,0,0,0,0,0,0,0,0
ZNF83,0,0,0,0,0,0,0,0,0,0
HCN1,0,0,0,0,0,0,0,0,0,0
DVL2,0,0,0,0,0,0,0,0,0,0
CHRNA1,0,0,0,0,0,0,0,0,0,0
CDK5R2,0,0,0,0,0,0,0,0,0,0
WAS,0,0,0,0,0,0,0,0,0,0
TMC5,0,0,0,0,0,0,0,0,0,0
ITGAE,0,0,0,0,0,0,0,0,0,0
PWP2,0,0,0,0,0,0,0,0,0,0
SNX11,0,0,0,0,0,0,0,0,0,0
MED31,0,0,0,0,0,0,0,0,0,0
RIPK1,0,0,0,0,0,0,0,0,0,0
ZNF106,0,0,0,0,0,0,0,0,0,0
C16orf54,0,0,0,0,0,0,0,0,0,0
POGK,0,0,0,0,0,0,0,0,0,0
KCNC2,0,0,0,0,0,0,0,0,0,0
SERPINF2,0,0,0,0,0,0,0,0,0,0
SERPINB5,0,0,0,0,0,0,0,0,0,0
SOX21,0,0,0,0,0,0,0,0,0,0
GAP43,0,0,0,0,0,0,0,0,0,0
B2M,0,0,0,0,0,0,0,0,0,0
ACSL4,0,0,0,0,0,0,0,0,0,0
NOL9,0,0,0,0,0,0,0,0,0,0
DUSP13,0,0,0,0,0,0,0,0,0,0
NELFCD,0,0,0,0,0,0,0,0,0,0
RIMS4,0,0,0,0,0,0,0,0,0,0
TOR1AIP1,0,0,0,0,0,0,0,0,0,0
LSM4,0,0,0,0,0,0,0,0,0,0
LRP5,0,0,0,0,0,0,0,0,0,0
ZNF282,0,0,0,0,0,0,0,0,0,0
NCKAP5L,0,0,0,0,0,0,0,0,0,0
ZIC2,0,0,0,0,0,0,0,0,0,0
DAAM2,0,0,0,0,0,0,0,0,0,0
ATP8A2,0,0,0,0,0,0,0,0,0,0
USP48,0,0,0,0,0,0,0,0,0,0
CNOT4,0,0,0,0,0,0,0,0,0,0
COPG1,1,0,0,0,0,0,0,0,0,1
DHRS12,0,0,0,0,0,0,0,0,0,0
NANOS2,0,0,0,0,0,0,0,0,0,0
ACLY,0,0,0,0,0,0,0,0,0,0
NEK1,0,0,0,0,0,0,0,0,0,0
DMC1,0,0,0,0,0,0,0,0,0,0
WDR70,0,0,0,0,0,0,0,0,0,0
HR,0,0,0,0,0,0,0,0,0,0
ZPBP,0,0,0,0,0,0,0,0,0,0
TMOD3,0,0,0,0,0,0,0,0,0,0
ZBTB39,0,0,0,0,0,0,0,0,0,0
KISS1R,0,0,0,0,0,0,0,0,0,0
NPM2,0,0,0,0,0,0,0,0,0,0
SYN3,0,0,0,0,0,0,0,0,0,0
MROH7,0,0,0,0,0,0,0,0,0,0
TCL1B,0,0,0,0,0,0,0,0,0,0
CENPL,0,0,0,0,0,0,0,0,0,0
NSUN3,0,0,0,0,0,0,0,0,0,0
SLC1A3,0,0,0,0,0,0,0,0,0,0
ACTN1,0,0,0,0,0,0,0,0,0,0
RNASE12,0,0,0,0,0,0,0,0,0,0
HAPLN3,0,0,0,0,0,0,0,0,0,0
IFNW1,0,0,0,0,0,0,0,0,0,0
FAM117A,0,0,0,0,0,0,0,0,0,0
BACE1,0,0,0,0,0,0,0,0,0,0
MXD1,0,0,0,0,0,0,0,0,0,0
STUB1,0,0,0,0,0,0,0,0,0,0
CSF2RB,0,0,0,0,0,0,0,0,0,0
ZC3H18,0,0,0,0,0,0,0,0,0,0
EAF2,0,0,0,0,0,0,0,0,0,0
ASCL2,0,0,0,0,0,0,0,0,0,0
HIST1H2AA,0,0,0,0,0,0,0,0,0,0
CSNK1A1,0,0,0,0,0,0,0,0,0,0
RFPL4B,0,0,0,0,0,0,0,0,0,0
MMAA,0,0,0,0,0,0,0,0,0,0
ANKRD54,0,0,0,0,0,0,0,0,0,0
CYP1A1,0,0,0,0,0,0,0,0,0,0
PXMP4,0,0,0,0,0,0,0,0,0,0
CXCR4,0,0,0,0,0,0,0,0,0,0
RNFT1,0,0,0,0,0,0,0,0,0,0
TMEM106B,0,0,0,0,0,0,0,0,0,0
HDDC3,0,0,0,0,0,0,0,0,0,0
MCM7,0,0,0,0,0,0,0,0,0,0
DLGAP1,0,0,0,0,0,0,0,0,0,0
TWF1,0,0,0,0,0,0,0,0,0,0
MALL,0,0,0,0,0,0,0,0,0,0
COPS4,0,0,0,0,0,0,0,0,0,0
FOXD1,0,0,0,0,0,0,0,0,0,0
HSPA12B,0,0,0,0,0,0,0,0,0,0
ARHGEF35,0,0,0,0,0,0,0,0,0,0
SLC6A13,0,0,0,0,0,0,0,0,0,0
HSD17B14,0,0,0,0,0,0,0,0,0,0
SLFN13,0,0,0,0,0,0,0,0,0,0
CD83,0,0,0,0,0,0,0,0,0,0
FBXO38,0,0,0,0,0,0,0,0,0,0
SOCS6,0,0,0,0,0,0,0,0,0,0
ZFP90,0,0,0,0,0,0,0,0,0,0
CEBPD,0,0,0,0,0,0,0,0,0,0
GON4L,0,0,0,0,0,0,0,0,0,0
FGFR1,0,0,0,0,0,0,0,0,0,0
ZNF773,0,0,0,0,0,0,0,0,0,0
NEDD8,0,0,0,0,0,0,0,0,0,0
SGK1,0,0,0,0,0,0,0,0,0,0
BPIFB2,0,0,0,0,0,0,0,0,0,0
MYO19,0,0,0,0,0,0,0,0,0,0
TMEM25,0,0,0,0,0,0,0,0,0,0
MZT2B,0,0,0,0,0,0,0,0,0,0
PKN3,0,0,0,0,0,0,0,0,0,0
UBLCP1,0,0,0,0,0,0,0,0,0,0
SIAH1,0,0,0,0,0,0,0,0,0,0
CD300C,0,0,0,0,0,0,0,0,0,0
SPRR4,0,0,0,0,0,0,0,0,0,0
GOLGB1,0,0,0,0,0,0,0,0,0,0
SEC24A,0,0,0,0,0,0,0,0,0,0
RIMS1,0,0,0,0,0,0,0,0,0,0
HIST1H1D,0,0,0,0,0,0,0,0,0,0
PCDHGB4,0,0,0,0,0,0,0,0,0,0
MECOM,0,0,0,0,0,0,0,0,0,0
POLRMT,0,0,0,0,0,0,0,0,0,0
KRT19,0,0,0,0,0,0,0,0,0,0
PCM1,0,0,0,0,0,0,0,0,0,0
SERPINC1,0,0,0,0,0,0,0,0,0,0
PCSK7,0,0,0,0,0,0,0,0,0,0
TFG,0,0,0,0,0,0,0,0,0,0
DBH,0,0,0,0,0,0,0,0,0,0
ANKLE2,0,0,0,0,0,0,0,0,0,0
CLDN1,0,0,0,0,0,0,0,0,0,0
DPY19L3,0,0,0,0,0,0,0,0,0,0
IER3,0,0,0,0,0,0,0,0,0,0
ZC3H15,0,0,0,0,0,0,0,0,0,0
TPST1,0,0,0,0,0,0,0,0,0,0
CCDC144NL,0,0,0,0,0,0,0,0,0,0
SIGLEC11,0,0,0,0,0,0,0,0,0,0
DHDDS,0,0,0,0,0,0,0,0,0,0
PITPNA,0,0,0,0,0,0,0,0,0,0
CCR10,0,0,0,0,0,0,0,0,0,0
LGALS9,0,0,0,0,0,0,0,0,0,0
USP29,0,0,0,0,0,0,0,0,0,0
B3GNT2,0,0,0,0,0,0,0,0,0,0
DDX50,0,0,1,0,0,0,0,0,0,1
NAF1,0,0,0,0,0,0,0,0,0,0
GPR180,0,0,0,0,0,0,0,0,0,0
EPHA5,0,0,0,0,0,0,0,0,0,0
CDC34,0,0,0,0,0,0,0,0,0,0
IFT52,0,0,0,0,0,0,0,0,0,0
RAB10,0,0,0,0,0,0,0,0,0,0
