Gene,TCGA-AB-2828-03A-01T-0734-13,TCGA-AB-2808-03A-01T-0734-13,TCGA-AB-2826-03A-01T-0734-13,TCGA-AB-2833-03A-01T-0734-13,TCGA-AB-2806-03A-01T-0734-13,TCGA-AB-2854-03A-01T-0734-13,TCGA-AB-2807-03A-01T-0734-13,TCGA-AB-2805-03A-01T-0734-13,TCGA-AB-2950-03A-01T-0735-13,TCGA-AB-2810-03A-01T-0736-13,COUNT
PRKD2,0,0,0,0,0,0,0,0,0,0,0
TERF1,0,0,0,0,0,0,0,0,0,0,0
LRRC70,0,0,0,0,0,0,0,0,0,0,0
ZSCAN16,0,0,0,0,0,0,0,0,0,0,0
RPP38,0,0,0,0,0,0,0,0,0,0,0
KLF9,0,0,0,0,0,0,0,0,0,0,0
CCDC106,0,0,0,0,0,0,0,0,0,0,0
TMEM205,0,0,0,0,0,0,0,0,0,0,0
DHX35,0,0,0,0,0,0,0,0,0,0,0
RPP25L,0,0,0,0,0,0,0,0,0,0,0
KDM2B,0,0,0,0,1,0,0,0,0,0,1
KDM3A,0,0,1,0,0,0,0,0,0,0,1
ITGA8,0,0,0,0,0,0,0,0,0,0,0
KIF24,0,0,0,0,0,0,0,0,0,0,0
PPM1B,0,0,0,0,0,0,0,0,0,0,0
PTGER2,0,0,0,1,0,0,0,0,0,0,1
SPSB1,0,0,0,0,0,0,0,0,0,0,0
PANK3,0,0,0,0,0,0,0,0,0,0,0
P4HA2,0,0,1,0,0,0,0,0,0,0,1
WARS2,0,0,0,0,0,0,0,0,0,0,0
SAPCD1,0,0,0,0,0,0,0,0,0,0,0
ABCA6,1,0,1,0,0,0,0,0,0,0,2
ZNF624,0,0,0,0,1,0,0,0,0,0,1
HIST1H2BM,0,0,0,0,0,0,1,0,0,0,1
KDM5B,0,1,0,0,0,0,0,0,0,0,1
XBP1,0,0,0,0,0,0,0,0,0,0,0
AIG1,0,0,0,0,0,0,0,0,0,0,0
MTRF1,0,0,0,0,0,0,0,0,0,0,0
MDM1,1,0,0,0,0,0,0,0,0,0,1
FOXJ3,0,1,0,0,0,0,0,0,0,0,1
CNTROB,0,0,0,0,0,0,0,0,0,0,0
HSPA2,0,0,0,0,0,0,0,0,0,0,0
SLC9A2,0,0,0,0,0,0,0,0,0,0,0
EAPP,0,0,0,0,0,0,0,0,0,0,0
LENG9,0,0,0,0,0,0,0,0,0,0,0
MYO18B,0,0,0,1,0,0,0,0,0,0,1
UBE2Q1,0,0,0,0,0,1,0,0,0,0,1
ARIH1,0,0,0,0,0,0,0,0,0,0,0
NIP7,0,0,0,0,0,0,0,0,0,0,0
PTGDS,0,0,0,0,0,0,0,0,0,0,0
LRCH4,1,0,0,0,1,0,0,0,0,0,2
TOX2,0,0,0,0,0,0,0,0,0,0,0
SLC25A29,0,0,0,0,0,0,0,0,0,0,0
BRIP1,0,0,0,0,0,0,0,0,0,0,0
VIT,0,0,0,0,0,0,0,0,0,0,0
KLF16,0,0,0,0,0,0,0,0,0,0,0
PLCH2,0,0,0,0,0,0,0,0,0,0,0
WNT7B,0,0,0,0,0,0,0,0,0,0,0
SNX5,0,0,0,0,0,0,0,0,0,0,0
CHMP1B,0,0,0,0,1,0,0,0,0,0,1
CNST,0,0,0,0,0,0,1,0,0,0,1
KATNBL1,0,0,0,0,0,0,0,0,0,0,0
CYTIP,0,0,0,0,0,0,0,0,0,0,0
WDR86,0,0,0,0,0,0,0,0,0,0,0
LOXL2,0,1,0,0,0,0,0,0,0,0,1
PSMC5,0,0,1,0,0,0,0,0,0,0,1
CDKL1,0,0,0,0,0,0,0,0,0,0,0
MMRN1,0,0,0,0,0,0,0,0,0,0,0
RDH11,0,0,0,0,0,0,0,0,0,0,0
MFSD12,0,0,0,0,0,0,0,0,0,0,0
ZNF398,0,0,1,0,0,0,0,0,0,0,1
FAM193A,1,0,0,0,0,0,0,0,0,0,1
RAB25,0,0,0,0,0,0,0,0,0,0,0
DNAJC5B,0,0,0,0,0,0,0,0,0,0,0
C11orf65,0,0,0,0,0,0,0,0,0,0,0
DNAH7,1,0,1,0,0,0,0,0,0,0,2
C11orf58,0,0,0,0,0,0,0,0,0,0,0
HELQ,0,0,0,0,0,0,0,0,0,0,0
TXLNA,0,0,0,0,0,0,0,0,0,0,0
ZSCAN29,1,0,0,0,0,0,0,0,0,0,1
VAT1L,0,1,0,0,0,0,0,0,0,0,1
CEP55,0,0,0,0,0,0,0,0,0,0,0
HNRNPC,0,0,0,0,0,0,0,0,0,0,0
C19orf47,0,0,0,0,0,0,0,0,0,0,0
DPH3,0,0,0,0,0,0,0,0,0,0,0
PPARD,0,0,0,0,0,0,0,0,0,0,0
TRIM38,0,1,0,0,0,0,0,0,0,0,1
CPLX1,0,0,0,0,0,0,0,0,0,0,0
GNE,0,0,1,0,0,0,0,0,0,0,1
ZBTB8OS,0,0,0,0,0,0,0,0,0,0,0
LAMA3,0,0,1,0,0,0,0,0,0,0,1
BRCA2,0,0,0,0,0,0,0,0,0,0,0
FLII,0,0,0,0,0,0,0,0,0,0,0
E4F1,0,0,0,0,0,0,0,0,0,0,0
PTPMT1,0,0,0,0,0,0,0,0,0,0,0
STAT2,1,0,0,0,0,0,0,0,0,0,1
NLRC5,0,1,0,0,0,1,0,0,0,0,2
ZNF17,0,0,1,0,0,0,0,0,0,0,1
LMAN1,0,0,0,0,0,0,0,0,0,0,0
SMG6,1,0,0,0,0,0,0,0,0,0,1
RSPH9,0,0,0,0,0,0,0,0,0,0,0
GTF2H2,0,0,0,0,0,0,0,0,0,0,0
TIGD5,0,0,0,0,0,0,0,0,0,0,0
ATXN7L3B,0,0,0,0,0,0,0,0,0,0,0
CEP128,0,0,0,0,0,0,0,0,0,0,0
PDE7A,0,0,0,0,0,0,0,0,0,0,0
PSMB6,0,0,0,0,0,0,0,0,0,0,0
SCMH1,0,0,0,0,0,0,0,0,0,0,0
NDOR1,0,0,0,0,0,0,0,0,0,0,0
CHST14,0,0,0,0,0,0,0,0,0,0,0
IL11,0,0,0,0,0,0,0,0,0,0,0
ACBD6,0,0,0,0,0,0,0,0,0,0,0
DCTD,0,0,0,0,0,0,0,0,0,0,0
CHAMP1,1,0,0,0,0,0,0,0,0,0,1
FSCN1,0,0,0,0,0,0,0,0,0,0,0
TBX6,0,0,0,0,0,0,0,0,0,1,1
ATL3,0,0,0,0,0,0,0,0,0,0,0
CORO2A,0,0,0,0,0,0,0,0,0,0,0
ITGA3,0,0,0,0,0,0,0,0,0,0,0
PGAP3,0,0,0,0,0,0,0,0,0,0,0
HEY1,0,0,0,0,0,1,0,0,0,0,1
COA6,0,0,0,0,0,0,0,0,0,0,0
NLRP7,0,0,0,0,0,0,0,0,0,0,0
NFATC1,0,0,0,0,0,0,0,0,0,0,0
TAF5L,0,0,0,0,0,0,0,0,0,0,0
CAMTA2,0,0,0,0,0,0,0,0,0,0,0
EFNB3,0,0,0,0,0,0,0,0,0,0,0
METTL16,0,0,0,0,0,0,0,0,0,0,0
SPEF2,0,0,0,0,0,0,0,0,0,0,0
NGLY1,0,0,0,0,0,0,0,0,0,0,0
RNF215,0,0,0,0,0,0,0,0,0,0,0
ACAT2,0,0,0,0,0,0,0,0,0,0,0
FUT3,0,0,0,0,0,0,0,0,0,0,0
HERC6,0,0,0,0,0,0,0,0,0,0,0
RWDD2B,0,0,0,0,0,0,0,0,0,0,0
VTN,0,0,0,0,1,0,0,0,0,0,1
HLTF,0,0,0,0,0,0,0,0,0,0,0
TMEM128,0,0,0,0,0,0,0,0,0,0,0
THEMIS,0,1,0,0,0,0,0,0,1,0,2
SAFB2,0,0,0,0,0,0,0,0,0,0,0
PGM3,0,0,0,0,0,0,0,0,0,0,0
KCNA6,0,0,0,0,0,0,0,0,0,0,0
VAT1,0,0,0,0,0,0,0,0,0,0,0
TFRC,0,1,0,0,0,0,0,0,0,0,1
ACADSB,0,0,0,0,0,0,0,0,0,0,0
OGFOD1,0,0,0,0,0,0,0,0,0,0,0
ANAPC13,0,0,0,0,0,0,0,0,0,0,0
ENDOD1,0,0,0,0,0,0,0,0,0,0,0
UBE2G1,0,0,0,0,0,0,0,0,0,0,0
CD276,0,0,0,0,0,0,0,0,0,0,0
TAX1BP1,0,0,0,0,0,0,0,0,0,0,0
ZNF469,0,0,0,0,0,0,0,0,0,0,0
VPS4A,0,0,0,0,1,0,0,0,0,0,1
BCL2L15,0,0,0,0,0,0,0,0,0,0,0
TM9SF4,0,0,0,0,0,0,0,0,0,0,0
MAPK9,0,0,0,0,1,0,0,0,0,0,1
PROS1,0,0,0,0,0,0,0,0,0,0,0
FNBP4,0,0,0,0,1,0,0,0,0,0,1
FERMT3,0,0,1,0,0,0,0,0,0,0,1
ETV1,0,1,0,0,0,0,0,0,0,0,1
PLCD1,0,1,0,0,0,0,0,0,0,0,1
BBS12,0,1,0,1,0,0,0,0,0,0,2
CACNA1B,0,0,0,0,0,0,0,0,0,0,0
SMAD3,0,0,0,0,0,0,0,0,0,0,0
ACTA2,0,0,0,0,0,0,0,0,0,0,0
ACCS,0,0,0,0,0,0,0,0,0,0,0
XKR8,0,0,0,0,0,0,0,0,0,0,0
OS9,0,0,0,0,0,0,0,0,0,0,0
DLGAP4,0,0,0,0,0,0,0,0,0,0,0
IRAK4,0,0,0,0,0,0,0,0,0,0,0
ERGIC3,0,0,0,0,0,0,0,0,0,0,0
FRYL,0,0,1,0,0,1,0,0,0,0,2
SERINC5,0,0,0,0,0,0,0,0,0,0,0
TRIM5,0,0,0,0,0,0,0,0,0,0,0
AP4M1,0,0,0,0,0,0,0,0,0,0,0
TNFAIP8,0,0,0,0,0,0,0,0,0,0,0
COX4I2,0,0,0,0,0,0,0,0,0,0,0
PPFIBP2,0,0,0,0,1,0,0,0,0,0,1
GSE1,0,0,0,0,0,0,0,0,0,0,0
RGS2,1,0,0,0,0,0,0,0,0,0,1
RTKN,0,0,0,0,0,0,0,0,0,0,0
EIF3E,0,0,0,0,0,0,0,0,0,0,0
SETD3,0,0,0,0,1,0,0,0,0,0,1
MCM7,0,0,0,0,0,0,0,0,0,0,0
FITM1,0,0,0,0,1,0,0,0,0,0,1
PGAP2,0,0,0,0,0,0,0,0,0,0,0
PIGQ,0,0,0,0,0,0,0,0,0,0,0
SLC25A10,0,0,0,0,0,0,0,0,0,0,0
ZNF226,0,0,0,0,0,0,0,0,0,0,0
IFT43,0,0,0,0,0,0,0,0,0,0,0
SNRPB2,0,0,0,0,0,0,0,0,0,0,0
FOXD1,0,0,0,0,0,0,0,0,0,0,0
TAPBP,0,0,0,0,0,0,0,0,0,0,0
F2R,0,0,0,0,0,0,0,0,0,0,0
TECPR2,0,0,0,0,0,0,0,0,0,0,0
SNX14,0,0,0,0,0,0,0,0,0,0,0
EXOSC10,0,0,0,0,0,0,0,0,0,0,0
MDGA1,0,0,0,0,0,0,0,0,0,0,0
POLR2F,0,0,0,0,0,0,0,0,0,0,0
TCAP,0,0,0,0,0,0,0,0,0,0,0
SLC39A7,1,0,0,0,0,0,0,0,0,0,1
FBXO38,1,0,0,0,0,0,0,0,0,0,1
SLC7A2,0,0,0,0,0,0,0,0,0,0,0
RNF44,0,0,0,0,0,0,0,0,0,0,0
GON4L,1,0,0,0,1,0,0,0,0,0,2
SLC35F5,0,0,0,0,0,0,0,0,0,1,1
DPYSL2,0,0,0,0,0,0,0,0,0,0,0
ERCC4,0,0,0,0,0,0,0,0,0,0,0
CXXC5,0,0,0,0,0,0,0,0,0,0,0
ZNF25,0,0,0,0,0,0,0,0,0,0,0
HERC1,1,0,1,0,0,0,0,0,0,0,2
SCO2,0,0,0,0,0,0,0,0,0,0,0
S100A4,0,0,0,0,0,0,0,0,0,0,0
ZNF558,0,0,0,0,0,0,0,0,0,0,0
SH2B1,0,1,0,0,0,0,0,0,0,0,1
SV2B,0,0,0,0,0,1,0,0,0,0,1
DGKG,0,0,0,1,0,0,0,0,0,0,1
NR2C2AP,0,0,0,0,0,0,0,0,0,0,0
MMAB,0,0,0,0,0,0,0,0,0,0,0
TRIM67,0,0,0,0,0,0,0,0,0,0,0
STXBP1,0,0,0,0,0,0,0,0,0,0,0
STIP1,0,1,0,0,0,0,0,0,0,0,1
GNAS,0,1,0,0,0,0,0,0,0,0,1
SPIRE1,0,0,0,0,0,0,0,0,0,0,0
EVPL,0,0,1,0,0,1,0,0,0,0,2
ZFHX4,1,1,0,1,0,0,0,0,0,0,3
TRIM65,0,0,1,0,0,0,0,0,0,0,1
PSMG1,0,0,0,0,0,0,0,0,0,0,0
CHURC1,0,0,0,0,0,0,0,0,0,0,0
TRIM11,0,0,0,0,0,0,0,0,0,0,0
SUCLA2,0,0,1,0,0,0,0,0,0,0,1
SEMA6D,0,1,0,0,0,0,0,0,0,0,1
CCR10,0,0,1,0,0,0,0,0,0,0,1
N4BP1,0,0,0,0,0,0,0,0,0,0,0
SAYSD1,0,0,0,0,0,0,0,0,0,0,0
GABRB1,1,0,0,0,0,0,0,0,0,0,1
PTER,0,0,0,0,0,0,0,0,0,0,0
GRIN1,0,0,0,0,0,0,0,0,0,0,0
RSPO2,0,0,0,0,0,0,0,0,0,0,0
RAB10,0,0,0,0,0,0,0,0,0,0,0
CLHC1,0,0,0,0,0,0,0,0,0,0,0
MRGBP,0,0,0,0,0,0,0,0,0,0,0
ZNF410,0,0,0,0,0,0,0,0,0,0,0
SIX1,0,0,0,0,0,0,0,0,0,0,0
TMCO1,0,0,0,0,0,0,0,0,0,0,0
TP53I3,0,0,0,0,0,0,0,0,0,0,0
URGCP,0,0,0,0,0,0,0,0,0,0,0
MKNK2,0,0,0,0,0,0,0,0,0,0,0
NME7,0,0,0,0,0,0,0,0,0,0,0
TIMM8A,0,0,0,0,0,0,0,0,0,0,0
VRK3,0,0,0,0,0,0,0,0,0,0,0
IARS2,0,0,0,0,0,0,0,0,0,0,0
KLF4,0,0,0,0,0,0,0,0,0,0,0
FSIP1,0,0,0,0,0,0,0,0,0,0,0
APOL2,0,0,0,0,0,0,0,0,0,0,0
PABPC1,0,1,0,0,0,0,0,0,0,0,1
ZSCAN23,0,0,0,0,0,0,0,0,0,0,0
PCP4L1,0,0,0,0,0,0,0,0,0,0,0
PLAA,0,1,1,0,0,0,0,0,0,0,2
PHACTR3,0,0,0,0,1,0,0,0,0,0,1
GRHPR,0,0,0,0,0,0,0,0,0,0,0
TNFSF12,0,0,0,0,0,0,0,0,0,0,0
MMP9,0,0,0,0,0,0,0,0,0,0,0
NT5DC3,0,0,0,0,0,0,0,0,0,0,0
ZBTB25,0,0,0,0,0,0,0,0,0,0,0
EIF2B5,0,0,0,0,0,0,0,1,0,0,1
DNAJA3,0,0,0,0,0,0,0,0,0,0,0
COPS5,0,0,0,0,0,0,0,0,0,0,0
ANKHD1,0,0,0,0,0,0,0,0,0,0,0
COMP,0,0,0,0,0,0,0,0,0,0,0
HKDC1,0,0,1,0,0,0,0,0,0,0,1
PITHD1,0,0,0,0,0,0,0,0,0,0,0
CARD8,1,0,0,0,0,0,0,0,0,0,1
BCAN,0,0,0,0,0,0,0,0,0,0,0
PCOLCE,0,0,0,0,0,0,0,0,0,0,0
LGALS3BP,0,0,0,0,0,0,0,0,0,0,0
C22orf39,0,0,0,0,0,0,0,0,0,0,0
DSCC1,0,0,0,0,0,0,0,0,0,0,0
SPATC1,0,0,0,0,0,0,0,0,0,0,0
SIPA1L1,0,0,0,0,0,0,0,0,0,0,0
TMPRSS3,0,0,0,0,0,0,0,0,0,0,0
ELF2,0,0,0,0,0,0,0,0,0,0,0
PYHIN1,0,0,0,0,0,0,0,0,0,0,0
MSMO1,1,0,0,0,0,0,0,0,0,0,1
STT3B,0,0,0,0,0,0,0,0,0,0,0
EPHB2,1,0,0,0,0,0,0,0,0,0,1
PLCB3,0,0,1,0,0,0,0,0,0,0,1
ABCC9,0,1,0,0,0,0,0,0,0,0,1
BTBD3,0,0,0,0,0,0,0,0,0,0,0
CIAPIN1,0,0,0,0,0,0,0,0,0,0,0
POLA2,0,0,0,0,0,0,0,0,0,0,0
PSPN,0,0,0,0,0,0,0,0,0,0,0
NEK2,0,0,0,0,0,0,0,0,0,0,0
WDR59,0,0,0,0,0,0,0,0,0,0,0
DOCK9,1,0,0,0,0,0,0,0,0,0,1
UPK3A,0,0,0,0,0,0,0,0,0,0,0
HSPA4L,0,0,0,0,0,0,0,0,0,0,0
LPIN2,0,0,0,0,0,0,0,0,0,0,0
NUDT7,0,0,0,0,0,0,0,0,0,0,0
TIAM1,1,0,0,0,0,0,0,0,0,0,1
DDIT3,0,0,0,0,0,0,0,0,0,0,0
KRT17,0,0,0,0,0,0,0,0,0,0,0
CLEC3B,0,0,0,0,0,0,0,0,0,0,0
PGC,0,0,0,0,0,0,0,0,0,0,0
APOBEC2,0,0,0,0,0,0,0,0,0,0,0
LZTR1,0,0,0,0,0,0,0,0,0,0,0
HIGD1B,0,0,0,0,0,0,0,0,0,0,0
ANGPTL2,0,0,0,1,0,0,0,0,0,0,1
SLC22A5,0,0,0,0,0,0,0,0,0,0,0
SNAPC3,0,0,0,0,0,0,0,0,0,0,0
CLPP,0,0,0,1,0,0,0,0,0,0,1
OGDH,0,0,0,0,0,0,0,0,0,0,0
C2orf50,0,0,0,0,0,0,0,0,0,0,0
C12orf43,0,0,0,0,0,0,0,0,0,0,0
ZNF484,1,0,0,0,0,0,0,0,0,0,1
CNTN1,0,0,0,0,0,0,0,0,0,0,0
BOK,0,0,0,0,0,0,0,0,0,0,0
NOXO1,0,0,0,0,0,0,0,0,0,0,0
ELF1,1,0,0,0,0,0,0,0,0,0,1
ACAD8,0,0,0,0,0,0,0,0,0,0,0
S100A16,0,0,0,0,0,0,0,0,0,0,0
PAM,1,0,0,0,0,0,0,0,0,0,1
ASTN2,0,0,1,0,0,0,0,0,0,0,1
GZMK,0,0,0,0,0,0,0,0,0,0,0
DMXL2,0,1,0,1,0,0,0,0,0,0,2
CAMK2N1,0,0,0,0,0,0,0,0,0,0,0
PPP3R1,0,0,0,0,0,0,0,0,0,0,0
GTPBP1,0,0,0,0,0,0,0,0,0,0,0
GORASP2,0,0,0,0,0,0,0,0,0,0,0
BTBD2,0,0,0,0,0,0,0,0,0,0,0
NID2,1,0,1,0,0,0,0,0,0,0,2
ZNF19,0,0,0,0,0,0,0,0,0,0,0
TMEM248,0,0,0,0,0,0,0,0,0,0,0
CAP1,0,0,0,0,0,0,0,0,0,0,0
NFRKB,1,0,0,0,0,0,0,0,0,0,1
PKD1,0,0,0,0,0,0,0,0,0,0,0
PI4KB,0,0,0,0,0,0,0,1,0,0,1
PNMA2,1,0,0,0,0,0,0,0,0,0,1
TNFRSF1B,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0
GRSF1,0,0,0,0,0,0,0,0,0,0,0
MRPL20,0,0,0,0,0,0,0,0,0,0,0
HIST2H2AC,0,0,0,0,0,0,0,0,0,0,0
CEP135,0,0,0,0,0,0,0,0,0,0,0
HIC1,0,0,0,0,0,0,0,0,0,0,0
KCMF1,0,0,0,0,0,0,0,0,0,0,0
TRIM41,0,0,0,0,0,0,1,0,0,0,1
QTRT1,0,0,0,0,0,0,0,0,0,0,0
ZNF561,0,0,0,0,0,0,0,0,0,0,0
TOR1B,0,0,0,0,0,0,0,0,0,0,0
KLHL2,0,0,0,0,0,0,0,0,0,0,0
BTLA,0,0,0,0,0,0,0,0,0,0,0
IMP4,0,0,0,0,0,0,0,0,0,0,0
GGA1,0,0,0,0,0,0,0,1,0,0,1
ILK,0,1,0,0,0,0,0,0,0,0,1
NUB1,0,0,0,0,0,0,0,0,0,0,0
CRCP,0,0,0,0,0,0,0,0,0,0,0
TGOLN2,0,0,0,0,0,0,0,0,0,0,0
KLHDC4,0,0,0,0,0,0,0,0,0,0,0
SLC44A3,0,0,1,0,0,0,0,0,0,0,1
TUBE1,0,0,0,0,0,0,0,0,0,0,0
MYO9A,0,1,0,0,0,0,0,0,0,0,1
RPAP3,0,0,0,0,0,0,0,0,0,0,0
DHX33,0,0,0,0,1,0,0,0,0,0,1
ZC3H12A,0,0,0,0,0,1,0,0,0,0,1
HSPE1,0,0,0,0,0,0,0,0,0,0,0
KIF4B,0,0,0,0,0,0,0,0,0,0,0
PDP2,1,1,0,0,0,0,0,0,0,0,2
PYCR2,0,0,1,0,0,0,0,0,0,0,1
DNAJC6,1,0,0,0,0,0,0,0,0,0,1
GFPT2,0,0,0,0,1,0,0,0,0,0,1
PSMA3,0,0,0,0,0,0,0,0,0,0,0
MITD1,0,0,0,0,0,0,0,0,0,0,0
MICAL2,0,0,0,0,1,0,0,0,0,0,1
LGR4,1,0,0,0,0,0,0,0,0,0,1
CLEC7A,0,0,0,0,0,0,0,0,0,0,0
RHPN1,0,0,0,0,0,0,0,0,0,0,0
ALG9,0,0,0,0,0,0,0,0,0,0,0
MPP2,0,0,0,0,0,0,0,0,0,0,0
GOLIM4,0,0,0,0,0,0,0,0,0,0,0
NCKAP5,0,0,0,0,0,0,0,0,0,0,0
RAB39A,0,0,0,0,0,0,0,0,0,0,0
TMEM8B,0,0,0,0,0,0,0,0,0,0,0
HSD17B4,0,0,0,1,0,0,0,0,0,0,1
MACF1,1,1,1,0,0,1,0,0,0,0,4
SPCS1,0,0,0,0,0,0,0,0,0,0,0
PEX12,0,0,0,0,0,0,0,0,0,0,0
IMPDH2,0,0,0,0,0,0,0,0,0,0,0
FNTB,0,0,0,0,0,0,0,0,0,0,0
RARS,0,0,0,0,0,0,0,0,0,0,0
TRMT61B,0,0,0,0,0,0,0,0,0,0,0
TMPRSS12,0,0,0,0,0,0,0,0,0,0,0
TSSC4,0,0,0,0,0,0,0,0,0,0,0
SDHB,0,0,0,0,0,0,0,0,0,0,0
SIPA1,0,0,0,0,0,0,0,0,0,0,0
AMOTL1,0,0,0,0,0,1,0,0,0,0,1
SAP30,1,0,0,0,0,0,0,0,0,0,1
KCNJ5,0,0,0,0,0,0,0,0,0,0,0
ITPA,0,0,0,0,0,0,0,0,0,0,0
MINPP1,0,0,0,0,0,0,0,0,0,0,0
LIPT1,0,0,0,0,0,0,0,0,0,0,0
ANK1,1,0,0,0,0,0,0,0,0,0,1
CARD11,1,0,0,0,0,0,0,0,0,0,1
RPS19,0,0,0,0,0,0,0,0,0,0,0
RPUSD2,0,0,0,0,0,0,0,0,0,0,0
TBC1D22B,0,0,0,0,0,0,0,0,0,0,0
ACSL1,0,0,0,0,0,0,0,0,0,0,0
RNF217,0,0,0,0,0,0,0,0,0,0,0
CCDC96,0,0,0,0,0,0,0,0,0,0,0
U2AF2,0,0,0,0,0,0,0,1,0,0,1
PRTN3,0,0,0,0,0,0,0,0,0,0,0
COPS7B,0,0,0,0,0,0,0,0,0,0,0
ZBTB44,0,0,0,0,0,1,0,0,0,0,1
XPO7,0,0,0,0,0,0,0,0,0,0,0
HOXB3,0,0,0,0,0,0,0,0,0,0,0
PISD,0,0,0,0,0,0,0,0,0,0,0
GPATCH1,0,0,0,0,0,0,0,0,0,0,0
SDF2L1,0,0,0,0,0,0,0,0,0,0,0
NPL,0,0,0,0,0,0,0,0,0,0,0
BTNL3,0,1,0,0,0,0,0,0,0,0,1
ST7L,0,0,0,0,0,0,0,0,0,0,0
ITLN1,0,0,0,0,0,0,0,0,0,0,0
PABPC1L,0,0,0,0,0,0,0,0,0,0,0
EIF4E,0,0,0,0,0,0,0,0,0,0,0
ZC3H7B,1,0,0,0,0,0,0,0,0,0,1
NOXA1,0,0,0,0,0,0,0,0,0,0,0
ATAT1,0,0,0,0,0,1,0,0,0,0,1
SNX18,0,0,0,0,0,0,0,0,0,0,0
DYNC2LI1,0,0,0,0,0,0,0,0,0,0,0
EPHB1,0,0,0,0,0,0,0,0,0,0,0
SCN8A,0,0,0,0,0,0,0,0,0,0,0
USP10,1,0,0,0,0,0,0,0,0,0,1
FASN,0,0,0,0,0,0,0,0,0,0,0
NUDT8,0,0,0,0,0,0,0,0,0,0,0
PRELP,0,0,0,0,0,0,0,0,0,0,0
ABCA3,0,0,0,1,0,0,0,0,0,0,1
SEPSECS,0,0,0,0,0,0,0,0,0,0,0
C19orf12,0,0,0,0,0,0,0,0,0,0,0
JUP,0,0,0,0,0,0,0,0,0,0,0
SIRPB1,0,0,0,0,0,0,0,0,0,0,0
SERPINH1,0,0,0,0,0,0,0,0,0,0,0
LAMTOR3,0,0,0,0,0,0,0,0,0,0,0
NAPEPLD,0,0,0,0,0,0,0,0,0,0,0
SNRNP200,0,0,0,0,0,0,0,0,0,0,0
ARHGEF1,0,0,0,0,0,0,0,0,0,0,0
AURKAIP1,0,0,0,0,0,0,0,0,0,0,0
FITM2,0,0,0,0,0,0,0,0,0,0,0
PRPF40B,0,0,0,0,0,0,0,0,0,0,0
RAB26,0,0,0,0,0,0,0,0,0,0,0
ZMYM6,1,0,0,0,0,0,0,0,0,0,1
PPFIBP1,0,0,0,0,0,0,0,0,0,0,0
STAU1,0,0,0,0,0,0,0,0,0,0,0
ENPEP,0,0,0,0,0,0,0,0,0,0,0
NAGLU,0,0,0,0,0,0,0,0,0,0,0
RNF222,0,0,0,0,0,0,0,0,0,0,0
LRRC7,0,0,0,0,1,0,0,0,0,0,1
KAT6B,0,1,0,0,0,0,0,0,0,0,1
SLC39A6,0,0,1,0,0,0,0,0,0,0,1
PLK4,0,0,0,0,0,0,0,0,0,0,0
CRABP1,0,0,0,0,0,0,0,0,0,0,0
ASPRV1,0,0,0,0,0,0,0,0,0,0,0
IGF1,0,0,0,0,0,0,0,0,0,0,0
TRPV1,0,0,0,0,0,0,0,0,0,0,0
WWP1,0,0,0,0,0,0,0,0,0,0,0
NOTCH2,1,0,0,1,0,1,0,0,0,0,3
SEC23A,0,1,1,0,0,0,0,0,0,0,2
VKORC1,0,0,0,0,0,0,0,0,0,0,0
DUOXA1,0,0,0,0,0,0,0,0,0,0,0
RPA3,0,0,0,0,0,0,0,0,0,0,0
DHH,0,0,0,0,0,0,0,0,0,0,0
MYBPC3,0,0,0,0,0,0,0,0,0,0,0
LY6G5B,0,0,0,0,0,0,0,0,0,0,0
AK1,0,0,0,0,0,0,0,0,0,0,0
CHEK2,0,0,0,0,0,0,0,0,0,0,0
GRM2,0,0,0,0,0,0,0,0,0,0,0
EXT1,0,0,0,0,0,0,0,0,0,0,0
CFB,0,0,0,0,0,0,0,0,0,0,0
PSMB5,0,1,0,0,0,0,0,0,0,0,1
ACTB,0,0,0,0,0,0,0,0,0,0,0
ANKS1A,0,0,0,0,1,0,0,0,0,0,1
TRIM2,0,0,0,0,0,0,0,0,0,0,0
ZZZ3,0,1,0,0,0,0,0,0,0,0,1
LRRC28,0,0,0,0,0,0,0,0,0,0,0
DNAJB6,0,0,0,0,0,0,0,0,0,0,0
POLR2A,0,0,0,0,0,1,0,0,0,0,1
C4BPB,0,0,0,0,0,0,0,0,0,0,0
TRMT13,0,0,0,0,0,0,0,0,0,0,0
PSMB1,0,0,0,0,0,0,0,0,0,0,0
MDN1,1,1,1,0,0,0,1,0,0,0,4
ZMAT2,0,0,0,0,0,0,0,0,0,0,0
PARP2,0,0,0,0,0,0,0,0,0,0,0
DST,0,0,0,0,0,0,0,0,0,0,0
UNC5C,0,0,0,0,0,0,0,0,0,0,0
GLDC,0,0,0,0,0,0,0,0,0,0,0
BROX,0,0,0,0,0,0,0,0,0,0,0
RAE1,0,0,0,0,0,0,0,0,0,0,0
HIF1AN,0,0,0,0,0,0,0,0,0,0,0
SF1,1,0,0,0,0,0,0,0,0,0,1
MAST2,0,0,0,0,1,0,0,0,0,0,1
GMEB1,0,0,0,0,0,0,0,0,0,0,0
PNPLA1,0,0,0,0,0,0,1,0,0,0,1
DDX42,0,0,0,0,0,0,0,0,0,0,0
STX12,0,0,0,0,0,0,0,0,0,0,0
